会社名,業種,所在地,URL,メール,フォームURL,HP状態,改善余地スコア(1-5),営業NG表記,送信可否,送信ステータス,送信日,返信ステータス,次回アクション,メモ
福岡市城南外壁リフォーム,塗装・リフォーム,福岡市城南区片江3-5-1,https://johnan-gaiheki.jp,jonan@johnan-gaiheki.jp,,HPなし同様・フォームなし,5,なし,可,,,,,
北九州塗装興業,塗装,福岡市博多区博多駅東1-5-9,https://kitakyushu-tosou.co.jp,info@kitakyushu-tosou.co.jp,https://kitakyushu-tosou.co.jp/form,古い・文字だらけ,4,なし,可,,,,,
エコリフォーム福岡,省エネ・リフォーム,福岡市早良区百道浜2-1-8,https://eco-reform-fukuoka.jp,eco@eco-reform-fukuoka.jp,https://eco-reform-fukuoka.jp/contact,まあまあだが改善余地,3,なし,可,,,,,
粕屋郡外壁塗装専門店,塗装,糟屋郡志免町別府4-2-6,https://kasuya-gaiheki.co.jp,info@kasuya-gaiheki.co.jp,,フォームなし・古い,5,なし,可,,,,,
筑前町リフォーム工務,リフォーム,朝倉郡筑前町依井2-3-9,https://chikuzen-reform.jp,info@chikuzen-reform.jp,https://chikuzen-reform.jp/inquiry,古い・事例なし,4,なし,可,,,,,
福岡市屋根工事専門,屋根工事,福岡市東区三苫3-7-12,https://fukuoka-yane-kouji.co.jp,roof@fukuoka-yane-kouji.co.jp,https://fukuoka-yane-kouji.co.jp/contact,古い・モバイル非対応,4,なし,可,,,,,
中央区塗装リフォーム,塗装・リフォーム,福岡市中央区赤坂1-8-6,https://chuo-tosou-reform.jp,info@chuo-tosou-reform.jp,https://chuo-tosou-reform.jp/form,スマホ非対応,4,なし,可,,,,,
ハウスメンテナンス福岡,外壁・屋根・塗装,福岡市西区今宿東町1-4-5,https://house-maintenance-fukuoka.co.jp,info@house-maintenance-fukuoka.co.jp,https://house-maintenance-fukuoka.co.jp/contact,古い・SEO弱い,4,なし,可,,,,,
田中税理士事務所,税理士,福岡市博多区博多駅前3-7-1,https://tanaka-tax.jp,info@tanaka-tax.jp,https://tanaka-tax.jp/contact,デザイン古い・事例なし,4,なし,可,,,,,
山本行政書士事務所,行政書士,福岡市中央区天神2-5-10,https://yamamoto-gyosei.co.jp,info@yamamoto-gyosei.co.jp,https://yamamoto-gyosei.co.jp/form,古い・スマホ非対応,5,なし,可,,,,,
鈴木社会保険労務士事務所,社労士,福岡市博多区千代1-4-8,https://suzuki-sharoushi.jp,suzuki@suzuki-sharoushi.jp,https://suzuki-sharoushi.jp/inquiry,情報薄・古い,4,なし,可,,,,,
博多税理士法人,税理士,福岡市博多区住吉2-14-5,https://hakata-tax-corp.jp,info@hakata-tax-corp.jp,https://hakata-tax-corp.jp/contact,そこそこだが改善余地,3,なし,可,,,,,
福岡中央行政書士事務所,行政書士,福岡市中央区大名1-9-3,https://fukuoka-chuo-gyosei.jp,mail@fukuoka-chuo-gyosei.jp,,HPなし同様・フォームなし,5,なし,可,,,,,フォームなし
南区総合税務事務所,税理士,福岡市南区長住3-8-2,https://minami-zeimu.co.jp,info@minami-zeimu.co.jp,https://minami-zeimu.co.jp/form,古い・文字ばかり,4,なし,可,,,,,
東区社労士オフィス,社労士,福岡市東区香椎2-11-4,https://higashi-sharoushi.jp,office@higashi-sharoushi.jp,https://higashi-sharoushi.jp/contact,スマホ非対応,4,なし,可,,,,,
早良区税理士グループ,税理士,福岡市早良区西新1-6-7,https://sawara-tax-group.jp,info@sawara-tax-group.jp,https://sawara-tax-group.jp/inquiry,古い・モバイル非対応,4,なし,可,,,,,
西区法務行政書士,行政書士,福岡市西区姪浜1-3-9,https://nishi-humu-gyosei.jp,nishi@nishi-humu-gyosei.jp,,フォームなし・古い,5,なし,可,,,,,フォームなし
福岡社会保険事務所 山田,社労士,福岡市博多区那珂1-12-6,https://yamada-sr-office.co.jp,yamada@yamada-sr-office.co.jp,https://yamada-sr-office.co.jp/form,デザイン古い,4,なし,可,,,,,
城南区税務サポート,税理士,福岡市城南区別府3-6-8,https://johnan-tax-support.jp,info@johnan-tax-support.jp,https://johnan-tax-support.jp/contact,古い・SEO弱い,4,なし,可,,,,,
大橋行政法務事務所,行政書士,福岡市南区大橋2-5-12,https://ohashi-humu.jp,mail@ohashi-humu.jp,https://ohashi-humu.jp/inquiry,情報薄,4,なし,可,,,,,
糟屋労務管理事務所,社労士,糟屋郡篠栗町篠栗3-1-5,https://kasuya-roumu.jp,info@kasuya-roumu.jp,,HPなし同様・フォームなし,5,なし,可,,,,,フォームなし
博多中央税理士法人,税理士,福岡市博多区祇園町1-8-3,https://hakata-chuo-tax.co.jp,info@hakata-chuo-tax.co.jp,https://hakata-chuo-tax.co.jp/contact,古い・デザイン古い,4,なし,可,,,,,
春日市行政書士事務所,行政書士,春日市春日原南町2-9-7,https://kasuga-gyosei.jp,kasuga@kasuga-gyosei.jp,https://kasuga-gyosei.jp/form,スマホ非対応,4,なし,可,,,,,
太宰府社労士事務所,社労士,太宰府市五条2-8-11,https://dazaifu-sr.jp,info@dazaifu-sr.jp,https://dazaifu-sr.jp/inquiry,古い・モバイル非対応,4,なし,可,,,,,
天神税務コンサルタント,税理士,福岡市中央区天神3-11-2,https://tenjin-tax-consul.jp,consul@tenjin-tax-consul.jp,https://tenjin-tax-consul.jp/contact,まあまあだが古め,3,なし,可,,,,,
福岡西区行政書士グループ,行政書士,福岡市西区周船寺2-4-8,https://nishi-gyosei-group.co.jp,info@nishi-gyosei-group.co.jp,,フォームなし・情報薄,5,なし,可,,,,,フォームなし
古賀市社会保険労務士,社労士,古賀市駅東1-7-3,https://koga-sr-office.jp,info@koga-sr-office.jp,https://koga-sr-office.jp/form,古い・事例なし,4,なし,可,,,,,
筑紫野総合税理士事務所,税理士,筑紫野市二日市南1-5-4,https://chikushino-sogo-tax.jp,info@chikushino-sogo-tax.jp,https://chikushino-sogo-tax.jp/contact,デザイン古い・スマホ非対応,4,なし,可,,,,,
